product_id	product_title	product_price	store_id	discount	image_url	ingredients	category_title
1001	Τηγανητό Καλαμάρι Ροδέλα Μερίδα	€7.50	10001		{https://www.argiro.gr/wp-content/uploads/2018/04/IMG_2779-600x314.jpg}	[{'title': 'Μερίδα', 'type': 'checkbox', 'items': ['Τηγανητές Πατάτες', 'Ελληνική Πίτα']}, {'title': 'Σαλάτα', 'type': 'checkbox', 'items': ['Ντομάτα', 'Αγγουράκι', 'Κρεμμύδι']}]	Ειδικές Προσφορές
1002	Μπιφτέκι Λαχανικών Μερίδα	€7.50	10001		{https://www.krepatown.gr/images/product/mpifteki-laxanikon1.jpg}	[{'title': 'Μερίδα', 'type': 'checkbox', 'items': ['Τηγανητές Πατάτες', 'Ελληνική Πίτα']}]	Ειδικές Προσφορές
2152	Falafel (PIECE)	€0.40	10003		{https://www.tastyeverafter.com/wp-content/uploads/2015/07/falafel4-1.jpg}	[]	Arabic
2153	Falafel (LEBANESE PITA)	€3.00	10003		{https://feelgoodfoodie.net/wp-content/uploads/2019/07/Falafel-Recipe-19.jpg}	[{'title': 'Lebanese', 'type': 'checkbox', 'items': ['Tomato', 'Cucumber', 'Lettuce', 'Hummus', 'Tahini', 'Pickled Vegetables', 'Ketchup', 'Mayonnaise', 'Mustard']}]	Arabic
2154	Falafel (MEAL)	€4.95	10003		{https://www.feastingathome.com/wp-content/uploads/2018/07/Baked-Falafel-Bowl-105.jpg}	[{'title': 'Meal', 'type': 'checkbox', 'items': ['Lettuce', 'Tomato', 'Cucumber', 'Lebanese Pita']}, {'title': 'Sauce On The Side', 'type': 'checkbox', 'items': ['Hummus', 'Tahini', 'Ketchup', 'Mayonnaise', 'Mustard']}]	Arabic
